OBJECTID|TRIPTYPE|PROVIDERNAME|FAREAMOUNT|GRATUITYAMOUNT|SURCHARGEAMOUNT|EXTRAFAREAMOUNT|TOLLAMOUNT|TOTALAMOUNT|PAYMENTTYPE|ORIGINCITY|ORIGINSTATE|ORIGINZIP|DESTINATIONCITY|DESTINATIONSTATE|DESTINATIONZIP|MILEAGE|DURATION|ORIGIN_BLOCK_LATITUDE|ORIGIN_BLOCK_LONGITUDE|ORIGIN_BLOCKNAME|DESTINATION_BLOCK_LATITUDE|DESTINATION_BLOCK_LONGITUDE|DESTINATION_BLOCKNAME|AIRPORT|ORIGINDATETIME_TR|DESTINATIONDATETIME_TR
343|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 12:00|01/13/2015 12:00
344|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 12:00|01/13/2015 12:00
345|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 14:00|01/13/2015 14:00
346|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 14:00|01/13/2015 14:00
347|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 16:00|01/13/2015 16:00
348|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 18:00|01/13/2015 18:00
349|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 15:00|01/13/2015 15:00
350|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 15:00|01/13/2015 15:00
351|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 19:00|01/13/2015 19:00
352|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 18:00|01/13/2015 18:00
353|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 18:00|01/13/2015 18:00
354|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 20:00|01/13/2015 20:00
355|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 23:00|01/13/2015 23:00
356|3|Yellow Cab|9.28|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20001|Washington|DC|20001|NULL|NULL|||||||N|01/11/2015 04:00|01/10/2015 05:00
357|3|Yellow Cab|19.54|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20003|Washington|DC|20018|NULL|NULL|||||||N|01/09/2015 05:00|01/09/2015 05:00
358|3|Yellow Cab|11.36|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20003|Washington|DC|20002|NULL|NULL|||||||N|01/09/2015 10:00|01/09/2015 11:00
359|3|Yellow Cab|5.77|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20018|Washington|DC|20003|NULL|NULL|||||||N|01/09/2015 11:00|01/09/2015 11:00
360|3|Yellow Cab|8.47|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20018|NULL|NULL|00000|NULL|NULL|||||||N|01/09/2015 11:00|01/09/2015 11:00
361|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/06/2015 10:00|01/06/2015 10:00
362|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/06/2015 14:00|01/06/2015 14:00
363|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/06/2015 13:00|01/06/2015 13:00
364|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/06/2015 14:00|01/06/2015 14:00
365|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/06/2015 15:00|01/06/2015 15:00
366|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/06/2015 15:00|01/06/2015 15:00
367|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/06/2015 15:00|01/06/2015 15:00
368|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/06/2015 19:00|01/06/2015 19:00
369|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 09:00|01/07/2015 09:00
370|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 15:00|01/07/2015 15:00
371|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 07:00|01/07/2015 07:00
372|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 07:00|01/07/2015 07:00
373|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 07:00|01/07/2015 07:00
374|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 09:00|01/07/2015 09:00
375|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 15:00|01/07/2015 15:00
